nephilim heritage	"heritage:nephilim"	Nephilim
hungerseed heritage	"heritage:hungerseed"	Hungerseed
changeling heritage	"heritage:changeling"	Changeling
sylph heritage	"heritage:sylph"	Sylph
beastkin heritage	"heritage:beastkin"	Beastkin
talos heritage	"heritage:talos"	Talos
undine heritage	"heritage:undine"	Undine
oread heritage	"heritage:oread"	Oread
aiuvarin heritage	"heritage:aiuvarin"	Aiuvarin
suli heritage	"heritage:suli"	Suli
naari heritage	"heritage:naari"	Naari
dhampir heritage	"heritage:dhampir"	Dhampir
duskwalker heritage	"heritage:duskwalker"	Duskwalker
dragonblood heritage	"heritage:dragonblood"	Dragonblood
reflection heritage	"heritage:reflection"	Reflection
ardande heritage	"heritage:ardande"	Ardande
dromaar heritage	"heritage:dromaar"	Dromaar
adaptive anadi heritage	"heritage:adaptive-anadi"	Adaptive Anadi
spindly anadi heritage	"heritage:spindly-anadi"	Spindly Anadi
snaring anadi heritage	"heritage:snaring-anadi"	Snaring Anadi
polychromatic anadi heritage	"heritage:polychromatic-anadi"	Polychromatic Anadi
venomous anadi heritage	"heritage:venomous-anadi"	Venomous Anadi
polyglot android heritage	"heritage:polyglot-android"	Polyglot Android
laborer android heritage	"heritage:laborer-android"	Laborer Android
impersonator android heritage	"heritage:impersonator-android"	Impersonator Android
warrior android heritage	"heritage:warrior-android"	Warrior Android
artisan android heritage	"heritage:artisan-android"	Artisan Android
kaleidoscopic athamaru heritage	"heritage:kaleidoscopic-athamaru"	Kaleidoscopic Athamaru
coral athamaru heritage	"heritage:coral-athamaru"	Coral Athamaru
quilled athamaru heritage	"heritage:quilled-athamaru"	Quilled Athamaru
benthic athamaru heritage	"heritage:benthic-athamaru"	Benthic Athamaru
hopeful athamaru heritage	"heritage:hopeful-athamaru"	Hopeful Athamaru
hunter automaton heritage	"heritage:hunter-automaton"	Hunter Automaton
newly minted automaton heritage	"heritage:newly-minted-automaton"	Newly Minted Automaton
mage automaton heritage	"heritage:mage-automaton"	Mage Automaton
defensive automaton heritage	"heritage:defensive-automaton"	Defensive Automaton
sharpshooter automaton heritage	"heritage:sharpshooter-automaton"	Sharpshooter Automaton
warrior automaton heritage	"heritage:warrior-automaton"	Warrior Automaton
climbing animal heritage	"heritage:climbing-animal"	Climbing Animal
flying animal heritage	"heritage:flying-animal"	Flying Animal
running animal heritage	"heritage:running-animal"	Running Animal
swimming animal heritage	"heritage:swimming-animal"	Swimming Animal
inured azarketi heritage	"heritage:inured-azarketi"	Inured Azarketi
mistbreath azarketi heritage	"heritage:mistbreath-azarketi"	Mistbreath Azarketi
spined azarketi heritage	"heritage:spined-azarketi"	Spined Azarketi
river azarketi heritage	"heritage:river-azarketi"	River Azarketi
benthic azarketi heritage	"heritage:benthic-azarketi"	Benthic Azarketi
murkeyed azarketi heritage	"heritage:murkeyed-azarketi"	Murkeyed Azarketi
tactile azarketi heritage	"heritage:tactile-azarketi"	Tactile Azarketi
thalassic azarketi heritage	"heritage:thalassic-azarketi"	Thalassic Azarketi
ancient scale azarketi heritage	"heritage:ancient-scale-azarketi"	Ancient Scale Azarketi
hunting catfolk heritage	"heritage:hunting-catfolk"	Hunting Catfolk
liminal catfolk heritage	"heritage:liminal-catfolk"	Liminal Catfolk
winter catfolk heritage	"heritage:winter-catfolk"	Winter Catfolk
jungle catfolk heritage	"heritage:jungle-catfolk"	Jungle Catfolk
sharp-eared catfolk heritage	"heritage:sharp-eared-catfolk"	Sharp-Eared Catfolk
flexible catfolk heritage	"heritage:flexible-catfolk"	Flexible Catfolk
clawed catfolk heritage	"heritage:clawed-catfolk"	Clawed Catfolk
nine lives catfolk heritage	"heritage:nine-lives-catfolk"	Nine Lives Catfolk
budding speaker centaur heritage	"heritage:budding-speaker-centaur"	Budding Speaker Centaur
ponygait centaur heritage	"heritage:ponygait-centaur"	Ponygait Centaur
mottle-coat centaur heritage	"heritage:mottle-coat-centaur"	Mottle-Coat Centaur
ironhoof centaur heritage	"heritage:ironhoof-centaur"	Ironhoof Centaur
stoutheart centaur heritage	"heritage:stoutheart-centaur"	Stoutheart Centaur
fleetwind centaur heritage	"heritage:fleetwind-centaur"	Fleetwind Centaur
rite of light heritage	"heritage:rite-of-light"	Rite of Light
rite of invocation heritage	"heritage:rite-of-invocation"	Rite of Invocation
rite of knowing heritage	"heritage:rite-of-knowing"	Rite of Knowing
rite of reinforcement heritage	"heritage:rite-of-reinforcement"	Rite of Reinforcement
rite of passage heritage	"heritage:rite-of-passage"	Rite of Passage
house drake heritage	"heritage:house-drake"	House Drake
homing drake heritage	"heritage:homing-drake"	Homing Drake
tidepool dragonet heritage	"heritage:tidepool-dragonet"	Tidepool Dragonet
pearl dragonet heritage	"heritage:pearl-dragonet"	Pearl Dragonet
fey dragonet heritage	"heritage:fey-dragonet"	Fey Dragonet
forge dwarf heritage	"heritage:forge-dwarf"	Forge Dwarf
oathkeeper dwarf heritage	"heritage:oathkeeper-dwarf"	Oathkeeper Dwarf
elemental heart dwarf heritage	"heritage:elemental-heart-dwarf"	Elemental Heart Dwarf
strong-blooded dwarf heritage	"heritage:strong-blooded-dwarf"	Strong-Blooded Dwarf
rock dwarf heritage	"heritage:rock-dwarf"	Rock Dwarf
death warden dwarf heritage	"heritage:death-warden-dwarf"	Death Warden Dwarf
forge-blessed dwarf heritage	"heritage:forge-blessed-dwarf"	Forge-Blessed Dwarf
anvil dwarf heritage	"heritage:anvil-dwarf"	Anvil Dwarf
ancient-blooded dwarf heritage	"heritage:ancient-blooded-dwarf"	Ancient-Blooded Dwarf
arctic elf heritage	"heritage:arctic-elf"	Arctic Elf
whisper elf heritage	"heritage:whisper-elf"	Whisper Elf
aquatic elf heritage	"heritage:aquatic-elf"	Aquatic Elf
ancient elf heritage	"heritage:ancient-elf"	Ancient Elf
cavern elf heritage	"heritage:cavern-elf"	Cavern Elf
seer elf heritage	"heritage:seer-elf"	Seer Elf
desert elf heritage	"heritage:desert-elf"	Desert Elf
woodland elf heritage	"heritage:woodland-elf"	Woodland Elf
liminal fetchling heritage	"heritage:liminal-fetchling"	Liminal Fetchling
resolute fetchling heritage	"heritage:resolute-fetchling"	Resolute Fetchling
deep fetchling heritage	"heritage:deep-fetchling"	Deep Fetchling
wisp fetchling heritage	"heritage:wisp-fetchling"	Wisp Fetchling
bright fetchling heritage	"heritage:bright-fetchling"	Bright Fetchling
mutated fleshwarp heritage	"heritage:mutated-fleshwarp"	Mutated Fleshwarp
discarded fleshwarp heritage	"heritage:discarded-fleshwarp"	Discarded Fleshwarp
cataphract fleshwarp heritage	"heritage:cataphract-fleshwarp"	Cataphract Fleshwarp
surgewise fleshwarp heritage	"heritage:surgewise-fleshwarp"	Surgewise Fleshwarp
created fleshwarp heritage	"heritage:created-fleshwarp"	Created Fleshwarp
technological fleshwarp heritage	"heritage:technological-fleshwarp"	Technological Fleshwarp
shapewrought fleshwarp heritage	"heritage:shapewrought-fleshwarp"	Shapewrought Fleshwarp
thorned rose heritage	"heritage:thorned-rose"	Thorned Rose
ancient ash heritage	"heritage:ancient-ash"	Ancient Ash
enchanting lily heritage	"heritage:enchanting-lily"	Enchanting Lily
strong oak heritage	"heritage:strong-oak"	Strong Oak
kijimuna gnome heritage	"heritage:kijimuna-gnome"	Kijimuna Gnome
fey-touched gnome heritage	"heritage:fey-touched-gnome"	Fey-Touched Gnome
vivacious gnome heritage	"heritage:vivacious-gnome"	Vivacious Gnome
chameleon gnome heritage	"heritage:chameleon-gnome"	Chameleon Gnome
umbral gnome heritage	"heritage:umbral-gnome"	Umbral Gnome
wellspring gnome heritage	"heritage:wellspring-gnome"	Wellspring Gnome
sensate gnome heritage	"heritage:sensate-gnome"	Sensate Gnome
charhide goblin heritage	"heritage:charhide-goblin"	Charhide Goblin
tailed goblin heritage	"heritage:tailed-goblin"	Tailed Goblin
treedweller goblin heritage	"heritage:treedweller-goblin"	Treedweller Goblin
unbreakable goblin heritage	"heritage:unbreakable-goblin"	Unbreakable Goblin
razortooth goblin heritage	"heritage:razortooth-goblin"	Razortooth Goblin
snow goblin heritage	"heritage:snow-goblin"	Snow Goblin
dokkaebi goblin heritage	"heritage:dokkaebi-goblin"	Dokkaebi Goblin
irongut goblin heritage	"heritage:irongut-goblin"	Irongut Goblin
farsight goloma heritage	"heritage:farsight-goloma"	Farsight Goloma
frightful goloma heritage	"heritage:frightful-goloma"	Frightful Goloma
