xenometric android heritage	"heritage:xenometric-android"	Xenometric Android
borai heritage	"heritage:borai"	Borai
gap-touched heritage	"heritage:gap-touched"	Gap-Touched
prismeni heritage	"heritage:prismeni"	Prismeni
corpsefolk heritage	"heritage:corpsefolk"	Corpsefolk
mod fanatic android heritage	"heritage:mod-fanatic-android"	Mod Fanatic Android
replicant android heritage	"heritage:replicant-android"	Replicant Android
electronica android heritage	"heritage:electronica-android"	Electronica Android
biotech android heritage	"heritage:biotech-android"	Biotech Android
hellforged android heritage	"heritage:hellforged-android"	Hellforged Android
voidcore android heritage	"heritage:voidcore-android"	Voidcore Android
renewed android heritage	"heritage:renewed-android"	Renewed Android
networked android heritage	"heritage:networked-android"	Networked Android
artificial scion android heritage	"heritage:artificial-scion-android"	Artificial Scion Android
aquazoan heritage	"heritage:aquazoan"	Aquazoan
cloned astrazoan heritage	"heritage:cloned-astrazoan"	Cloned Astrazoan
assimilated astrazoan heritage	"heritage:assimilated-astrazoan"	Assimilated Astrazoan
wild astrazoan heritage	"heritage:wild-astrazoan"	Wild Astrazoan
construct copycat heritage	"heritage:construct-copycat"	Construct Copycat
cosmopolitan atraxid heritage	"heritage:cosmopolitan-atraxid"	Cosmopolitan Atraxid
zero-g atraxid heritage	"heritage:zero-g-atraxid"	Zero-G Atraxid
jumping atraxid heritage	"heritage:jumping-atraxid"	Jumping Atraxid
winged bantrid heritage	"heritage:winged-bantrid"	Winged Bantrid
jeweled orb bantrid heritage	"heritage:jeweled-orb-bantrid"	Jeweled Orb Bantrid
bouncy orb bantrid heritage	"heritage:bouncy-orb-bantrid"	Bouncy Orb Bantrid
hollow orb bantrid heritage	"heritage:hollow-orb-bantrid"	Hollow Orb Bantrid
magnetic orb bantrid heritage	"heritage:magnetic-orb-bantrid"	Magnetic Orb Bantrid
locomotive bantrid heritage	"heritage:locomotive-bantrid"	Locomotive Bantrid
early stage barathu heritage	"heritage:early-stage-barathu"	Early Stage Barathu
covert observer barathu heritage	"heritage:covert-observer-barathu"	Covert Observer Barathu
manufacturer barathu heritage	"heritage:manufacturer-barathu"	Manufacturer Barathu
dreamer barathu heritage	"heritage:dreamer-barathu"	Dreamer Barathu
genetically unstable barathu heritage	"heritage:genetically-unstable-barathu"	Genetically Unstable Barathu
merged barathu heritage	"heritage:merged-barathu"	Merged Barathu
rugged explorer barathu heritage	"heritage:rugged-explorer-barathu"	Rugged Explorer Barathu
ocean diver barathu heritage	"heritage:ocean-diver-barathu"	Ocean Diver Barathu
living codex barathu heritage	"heritage:living-codex-barathu"	Living Codex Barathu
galactic wanderer barathu heritage	"heritage:galactic-wanderer-barathu"	Galactic Wanderer Barathu
aquatic binnaquid heritage	"heritage:aquatic-binnaquid"	Aquatic Binnaquid
psychic binnaquid heritage	"heritage:psychic-binnaquid"	Psychic Binnaquid
fanged binnaquid heritage	"heritage:fanged-binnaquid"	Fanged Binnaquid
bioluminescent brenneri heritage	"heritage:bioluminescent-brenneri"	Bioluminescent Brenneri
pod brenneri heritage	"heritage:pod-brenneri"	Pod Brenneri
reef brenneri heritage	"heritage:reef-brenneri"	Reef Brenneri
clawed brenneri heritage	"heritage:clawed-brenneri"	Clawed Brenneri
ambassador brenneri heritage	"heritage:ambassador-brenneri"	Ambassador Brenneri
jungle brenneri heritage	"heritage:jungle-brenneri"	Jungle Brenneri
manifested contemplative heritage	"heritage:manifested-contemplative"	Manifested Contemplative
irreproachable contemplative heritage	"heritage:irreproachable-contemplative"	Irreproachable Contemplative
retrograde contemplative heritage	"heritage:retrograde-contemplative"	Retrograde Contemplative
thoughtseeker contemplative heritage	"heritage:thoughtseeker-contemplative"	Thoughtseeker Contemplative
imperious contemplative heritage	"heritage:imperious-contemplative"	Imperious Contemplative
city kin copaxi heritage	"heritage:city-kin-copaxi"	City Kin Copaxi
sky scavenger copaxi heritage	"heritage:sky-scavenger-copaxi"	Sky Scavenger Copaxi
inheritor copaxi heritage	"heritage:inheritor-copaxi"	Inheritor Copaxi
self-focus copaxi heritage	"heritage:self-focus-copaxi"	Self-Focus Copaxi
industrialist copaxi heritage	"heritage:industrialist-copaxi"	Industrialist Copaxi
moon guard copaxi heritage	"heritage:moon-guard-copaxi"	Moon Guard Copaxi
mercurial dragonkin heritage	"heritage:mercurial-dragonkin"	Mercurial Dragonkin
flameheart dragonkin heritage	"heritage:flameheart-dragonkin"	Flameheart Dragonkin
heartbroken dragonkin heritage	"heritage:heartbroken-dragonkin"	Heartbroken Dragonkin
stormrider dragonkin heritage	"heritage:stormrider-dragonkin"	Stormrider Dragonkin
shipborn dragonkin heritage	"heritage:shipborn-dragonkin"	Shipborn Dragonkin
citadel dwarf heritage	"heritage:citadel-dwarf"	Citadel Dwarf
deep space hryngar heritage	"heritage:deep-space-hryngar"	Deep Space Hryngar
industrial dwarf heritage	"heritage:industrial-dwarf"	Industrial Dwarf
questbound dwarf heritage	"heritage:questbound-dwarf"	Questbound Dwarf
salvation's end dwarf heritage	"heritage:salvations-end-dwarf"	Salvation's End Dwarf
entertainer elebrian heritage	"heritage:entertainer-elebrian"	Entertainer Elebrian
sageborn elebrian heritage	"heritage:sageborn-elebrian"	Sageborn Elebrian
exiled elebrian heritage	"heritage:exiled-elebrian"	Exiled Elebrian
stagehand elebrian heritage	"heritage:stagehand-elebrian"	Stagehand Elebrian
asanan elf heritage	"heritage:asanan-elf"	Asanan Elf
azrinaran elf heritage	"heritage:azrinaran-elf"	Azrinaran Elf
ivairan elf heritage	"heritage:ivairan-elf"	Ivairan Elf
sovyrian elf heritage	"heritage:sovyrian-elf"	Sovyrian Elf
hostless entu heritage	"heritage:hostless-entu"	Hostless Entu
squentu heritage	"heritage:squentu"	Squentu
karapentu heritage	"heritage:karapentu"	Karapentu
nelentu heritage	"heritage:nelentu"	Nelentu
yeulentu heritage	"heritage:yeulentu"	Yeulentu
sonic aurora fonqugon heritage	"heritage:sonic-aurora-fonqugon"	Sonic Aurora Fonqugon
psychic blight fonqugon heritage	"heritage:psychic-blight-fonqugon"	Psychic Blight Fonqugon
fire flood fonqugon heritage	"heritage:fire-flood-fonqugon"	Fire Flood Fonqugon
lightning wave fonqugon heritage	"heritage:lightning-wave-fonqugon"	Lightning Wave Fonqugon
acid quake fonqugon heritage	"heritage:acid-quake-fonqugon"	Acid Quake Fonqugon
builder formian heritage	"heritage:builder-formian"	Builder Formian
