3/3/26, 9:20 AM
Project Statistics

                 	Segments	Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    6836	21901	                 141317	                156330	    11	
Remaining:       	     494	 3513	                  17741	                 20745	    10	
Unique:          	    2685	10454	                  61237	                 68958	    11	
Unique Remaining:	     368	 3000	                  14912	                 17529	    10	


Individual File Statistics:

File Name                             	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
pf2e.json                             	          4397	               339	           1783	                      265	      14187	           2569	        6985	                  2232	                        92501	                            12824	                         41060	                                   11009	                      102291	                           15047	                        46257	                                  12969	
sf2e.json                             	           461	                14	            183	                        5	       1427	             97	         582	                    47	                         8991	                              480	                          3740	                                     246	                        9960	                             563	                         4140	                                    288	
pf2e-playtest-data.json               	            37	                 1	             21	                        1	        129	              7	          77	                     7	                          837	                               30	                           482	                                      30	                         928	                              36	                          537	                                     36	
starfinder-field-test-for-pf2e.json   	           109	                 6	             24	                        2	        277	             12	          69	                     4	                         1892	                               90	                           473	                                      32	                        2060	                              96	                          518	                                     34	
pf2e-agents-of-the-old-world.json     	           427	                22	            174	                       22	       1402	            195	         763	                   195	                         8989	                              992	                          4172	                                     992	                        9947	                            1162	                         4745	                                   1162	
pf2e-heresy-of-the-whispering-way.json	           339	                26	            127	                       23	       1144	            201	         541	                   180	                         7016	                              975	                          3044	                                     879	                        7806	                            1149	                         3451	                                   1035	
pf2e-keepers-of-the-grave-world.json  	            69	                 2	             30	                        2	        198	             16	          94	                    16	                         1369	                               73	                           598	                                      73	                        1496	                              87	                          660	                                     87	
pf2e-lodgings-of-the-roaming-hero.json	            37	                 0	             16	                        0	        146	              0	          73	                     0	                          764	                                0	                           374	                                       0	                         873	                               0	                          431	                                      0	
pf2e-retinues-of-the-roaming-hero.json	            73	                11	             29	                       11	        194	             64	         106	                    64	                         1140	                              361	                           646	                                     361	                        1259	                             414	                          721	                                    414	
pf2e-sailors-of-the-sightless-sea.json	           481	                20	            145	                       16	       1470	            122	         512	                   103	                         9723	                              623	                          2947	                                     517	                       10706	                             724	                         3309	                                    603	
pf2e-soldiers-of-the-immortal-war.json	           406	                53	            153	                       22	       1327	            230	         652	                   153	                         8095	                             1293	                          3701	                                     781	                        9004	                            1467	                         4189	                                    909	
